"","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","chromosome_name","start_position","end_position","strand","description"
"91","ENSMUSG00000096902",108168595,"Gm20843","protein_coding","Y",72232132,72258387,-1,"predicted gene, 20843 [Source:MGI Symbol;Acc:MGI:5434199]"
"92","ENSMUSG00000096650",108168555,"Gm20896","protein_coding","Y",35850673,35876871,-1,"predicted gene, 20896 [Source:MGI Symbol;Acc:MGI:5434252]"
"93","ENSMUSG00000099782",100042110,"Gm20903","protein_coding","Y",73680584,73706755,1,"predicted gene, 20903 [Source:MGI Symbol;Acc:MGI:5434259]"
"94","ENSMUSG00000101933",108168509,"Gm20835","protein_coding","Y",36664443,36690635,-1,"predicted gene, 20835 [Source:MGI Symbol;Acc:MGI:5434191]"
"95","ENSMUSG00000101528",NA,"Gm29110","protein_coding","Y",74481800,74508227,1,"predicted gene 29110 [Source:MGI Symbol;Acc:MGI:5579816]"
"96","ENSMUSG00000101157",108168510,"Gm20905","protein_coding","Y",37188765,37214948,-1,"predicted gene, 20905 [Source:MGI Symbol;Acc:MGI:5434261]"
"97","ENSMUSG00000094507",NA,"Gm21913","protein_coding","Y",74635165,74636247,1,"predicted gene, 21913 [Source:MGI Symbol;Acc:MGI:5434077]"
"98","ENSMUSG00000094575",382133,"Gm20738","protein_coding","Y",37913156,37915490,1,"predicted gene, 20738 [Source:MGI Symbol;Acc:MGI:5434094]"
"99","ENSMUSG00000094575",108168660,"Gm20738","protein_coding","Y",37913156,37915490,1,"predicted gene, 20738 [Source:MGI Symbol;Acc:MGI:5434094]"
"100","ENSMUSG00000101146",108167378,"Gm20814","protein_coding","Y",75207125,75233327,1,"predicted gene, 20814 [Source:MGI Symbol;Acc:MGI:5434170]"
"101","ENSMUSG00000100902",100040712,"Gm20850","protein_coding","Y",75726591,75752818,1,"predicted gene, 20850 [Source:MGI Symbol;Acc:MGI:5434206]"
"102","ENSMUSG00000100892",108168548,"Gm20897","protein_coding","Y",38431406,38457583,-1,"predicted gene, 20897 [Source:MGI Symbol;Acc:MGI:5434253]"
"103","ENSMUSG00000094404",NA,"Gm21776","protein_coding","Y",76389931,76391013,1,"predicted gene, 21776 [Source:MGI Symbol;Acc:MGI:5433940]"
"104","ENSMUSG00000100708",NA,"Gm21173","protein_coding","Y",76772869,76798998,1,"predicted gene, 21173 [Source:MGI Symbol;Acc:MGI:5434528]"
"105","ENSMUSG00000093895",108168511,"Gm21865","protein_coding","Y",40246135,40272248,-1,"predicted gene, 21865 [Source:MGI Symbol;Acc:MGI:5434029]"
"106","ENSMUSG00000094354",NA,"Gm21882","protein_coding","Y",40335786,40336868,-1,"predicted gene, 21882 [Source:MGI Symbol;Acc:MGI:5434046]"
"107","ENSMUSG00000094647",108168524,"Gm21650","protein_coding","Y",77704077,77730307,1,"predicted gene, 21650 [Source:MGI Symbol;Acc:MGI:5435005]"
"108","ENSMUSG00000094647",108168532,"Gm21650","protein_coding","Y",77704077,77730307,1,"predicted gene, 21650 [Source:MGI Symbol;Acc:MGI:5435005]"
"109","ENSMUSG00000094647",108168533,"Gm21650","protein_coding","Y",77704077,77730307,1,"predicted gene, 21650 [Source:MGI Symbol;Acc:MGI:5435005]"
"110","ENSMUSG00000094647",108168595,"Gm21650","protein_coding","Y",77704077,77730307,1,"predicted gene, 21650 [Source:MGI Symbol;Acc:MGI:5435005]"
"111","ENSMUSG00000096898",100041256,"Gm20867","protein_coding","Y",77972142,77974473,-1,"predicted gene, 20867 [Source:MGI Symbol;Acc:MGI:5434223]"
"112","ENSMUSG00000096898",100861743,"Gm20867","protein_coding","Y",77972142,77974473,-1,"predicted gene, 20867 [Source:MGI Symbol;Acc:MGI:5434223]"
"113","ENSMUSG00000096898",100862360,"Gm20867","protein_coding","Y",77972142,77974473,-1,"predicted gene, 20867 [Source:MGI Symbol;Acc:MGI:5434223]"
"114","ENSMUSG00000096898",108168574,"Gm20867","protein_coding","Y",77972142,77974473,-1,"predicted gene, 20867 [Source:MGI Symbol;Acc:MGI:5434223]"
"115","ENSMUSG00000096898",108168596,"Gm20867","protein_coding","Y",77972142,77974473,-1,"predicted gene, 20867 [Source:MGI Symbol;Acc:MGI:5434223]"
"116","ENSMUSG00000096885",NA,"Gm21797","protein_coding","Y",40730568,40731110,-1,"predicted gene, 21797 [Source:MGI Symbol;Acc:MGI:5433961]"
"117","ENSMUSG00000099792",NA,"Gm29564","protein_coding","Y",78224262,78250458,1,"predicted gene 29564 [Source:MGI Symbol;Acc:MGI:5580270]"
"118","ENSMUSG00000095452",100039034,"Gm20795","protein_coding","Y",40760259,40762701,1,"predicted gene, 20795 [Source:MGI Symbol;Acc:MGI:5434151]"
"119","ENSMUSG00000095452",100040335,"Gm20795","protein_coding","Y",40760259,40762701,1,"predicted gene, 20795 [Source:MGI Symbol;Acc:MGI:5434151]"
"120","ENSMUSG00000095452",100862345,"Gm20795","protein_coding","Y",40760259,40762701,1,"predicted gene, 20795 [Source:MGI Symbol;Acc:MGI:5434151]"
"121","ENSMUSG00000096120",NA,"Gm21800","protein_coding","Y",41361843,41362385,1,"predicted gene, 21800 [Source:MGI Symbol;Acc:MGI:5433964]"
"122","ENSMUSG00000094739",100039574,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"123","ENSMUSG00000094739",100040429,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"124","ENSMUSG00000094739",100042268,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"125","ENSMUSG00000094739",100042475,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"126","ENSMUSG00000094739",100861821,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"127","ENSMUSG00000094739",108168537,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"128","ENSMUSG00000094739",108168538,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"129","ENSMUSG00000094739",108168539,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"130","ENSMUSG00000094739",108168540,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"131","ENSMUSG00000094739",108168541,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"132","ENSMUSG00000094739",108168542,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"133","ENSMUSG00000094739",108168543,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"134","ENSMUSG00000094739",108168549,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"135","ENSMUSG00000094739",108168550,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"136","ENSMUSG00000094739",108168556,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"137","ENSMUSG00000094739",108168561,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"138","ENSMUSG00000094739",108168562,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"139","ENSMUSG00000094739",108168563,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"140","ENSMUSG00000094739",108168665,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"141","ENSMUSG00000094739",118567358,"Gm20806","protein_coding","Y",78846990,78849325,-1,"predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"142","ENSMUSG00000095867",100042428,"Gm20917","protein_coding","Y",79160058,79162391,-1,"predicted gene, 20917 [Source:MGI Symbol;Acc:MGI:5434273]"
"143","ENSMUSG00000095867",108168609,"Gm20917","protein_coding","Y",79160058,79162391,-1,"predicted gene, 20917 [Source:MGI Symbol;Acc:MGI:5434273]"
"144","ENSMUSG00000101471",NA,"Gm29276","protein_coding","Y",42505428,42537595,-1,"predicted gene 29276 [Source:MGI Symbol;Acc:MGI:5579982]"
"145","ENSMUSG00000094746",100042417,"Gm20916","protein_coding","Y",79330834,79356976,1,"predicted gene, 20916 [Source:MGI Symbol;Acc:MGI:5434272]"
"146","ENSMUSG00000095578",NA,"Gm21760","protein_coding","Y",80145048,80171244,1,"predicted gene, 21760 [Source:MGI Symbol;Acc:MGI:5433924]"
"147","ENSMUSG00000094181",NA,"Gm21739","protein_coding","Y",44187468,44219789,-1,"predicted gene, 21739 [Source:MGI Symbol;Acc:MGI:5433903]"
"148","ENSMUSG00000099740",NA,"Gm28897","protein_coding","Y",80938264,80964527,1,"predicted gene 28897 [Source:MGI Symbol;Acc:MGI:5579603]"
"149","ENSMUSG00000099894",108168582,"Gm20911","protein_coding","Y",81469276,81495356,1,"predicted gene, 20911 [Source:MGI Symbol;Acc:MGI:5434267]"
"150","ENSMUSG00000101286",100861906,"Gm21317","protein_coding","Y",82236496,82262688,1,"predicted gene, 21317 [Source:MGI Symbol;Acc:MGI:5434672]"
"151","ENSMUSG00000099925",NA,"Gm28827","protein_coding","Y",83042216,83068570,1,"predicted gene 28827 [Source:MGI Symbol;Acc:MGI:5579533]"
"152","ENSMUSG00000094782",NA,"Gm21256","protein_coding","Y",47455569,47487599,1,"predicted gene, 21256 [Source:MGI Symbol;Acc:MGI:5434611]"
"153","ENSMUSG00000101653",NA,"Gm20792","protein_coding","Y",48316464,48348480,1,"predicted gene, 20792 [Source:MGI Symbol;Acc:MGI:5434148]"
"154","ENSMUSG00000095153",NA,"Gm21095","protein_coding","Y",84108548,84134763,1,"predicted gene, 21095 [Source:MGI Symbol;Acc:MGI:5434450]"
"155","ENSMUSG00000094660",108168579,"Gm21394","protein_coding","Y",84573841,84576176,-1,"predicted gene, 21394 [Source:MGI Symbol;Acc:MGI:5434749]"
"156","ENSMUSG00000100972",108168590,"Gm28553","protein_coding","Y",48861106,48887226,1,"predicted gene 28553 [Source:MGI Symbol;Acc:MGI:5579259]"
"157","ENSMUSG00000099840",100862025,"Gm21409","protein_coding","Y",84757954,84784171,1,"predicted gene, 21409 [Source:MGI Symbol;Acc:MGI:5434764]"
"158","ENSMUSG00000095979",108168515,"Gm21209","protein_coding","Y",49567735,49594004,1,"predicted gene, 21209 [Source:MGI Symbol;Acc:MGI:5434564]"
"159","ENSMUSG00000095979",108168524,"Gm21209","protein_coding","Y",49567735,49594004,1,"predicted gene, 21209 [Source:MGI Symbol;Acc:MGI:5434564]"
"160","ENSMUSG00000095979",108168532,"Gm21209","protein_coding","Y",49567735,49594004,1,"predicted gene, 21209 [Source:MGI Symbol;Acc:MGI:5434564]"
"161","ENSMUSG00000095979",108168595,"Gm21209","protein_coding","Y",49567735,49594004,1,"predicted gene, 21209 [Source:MGI Symbol;Acc:MGI:5434564]"
"162","ENSMUSG00000095650",100040911,"Gm20854","protein_coding","Y",85539786,85542177,-1,"predicted gene, 20854 [Source:MGI Symbol;Acc:MGI:5434210]"
"163","ENSMUSG00000095650",108168565,"Gm20854","protein_coding","Y",85539786,85542177,-1,"predicted gene, 20854 [Source:MGI Symbol;Acc:MGI:5434210]"
"164","ENSMUSG00000100338",NA,"Gm28870","protein_coding","Y",50093855,50118710,1,"predicted gene 28870 [Source:MGI Symbol;Acc:MGI:5579576]"
"165","ENSMUSG00000100240",NA,"Gm20820","protein_coding","Y",86073041,86099221,1,"predicted gene, 20820 [Source:MGI Symbol;Acc:MGI:5434176]"
"166","ENSMUSG00000102122",108168553,"Gm20883","protein_coding","Y",50604830,50631040,1,"predicted gene, 20883 [Source:MGI Symbol;Acc:MGI:5434239]"
"167","ENSMUSG00000096769",108168594,"Gm21117","protein_coding","Y",51121799,51148063,1,"predicted gene, 21117 [Source:MGI Symbol;Acc:MGI:5434472]"
"168","ENSMUSG00000094399",108168559,"Gm21477","protein_coding","Y",87128090,87154186,1,"predicted gene, 21477 [Source:MGI Symbol;Acc:MGI:5434832]"
"169","ENSMUSG00000099856",100042201,"Gm20906","protein_coding","Y",87562235,87586960,1,"predicted gene, 20906 [Source:MGI Symbol;Acc:MGI:5434262]"
"170","ENSMUSG00000100485",100861691,"Gm20920","protein_coding","Y",51848699,51874879,1,"predicted gene, 20920 [Source:MGI Symbol;Acc:MGI:5434276]"
"171","ENSMUSG00000100485",108168558,"Gm20920","protein_coding","Y",51848699,51874879,1,"predicted gene, 20920 [Source:MGI Symbol;Acc:MGI:5434276]"
"172","ENSMUSG00000101915",NA,"Gm28102","protein_coding","Y",88064584,88090763,1,"predicted gene 28102 [Source:MGI Symbol;Acc:MGI:5578808]"
"173","ENSMUSG00000102045",NA,"Gm21294","protein_coding","Y",89064075,89090284,1,"predicted gene, 21294 [Source:MGI Symbol;Acc:MGI:5434649]"
"174","ENSMUSG00000095606",100861839,"Gm21258","protein_coding","Y",52776619,52802833,1,"predicted gene, 21258 [Source:MGI Symbol;Acc:MGI:5434613]"
"175","ENSMUSG00000100608",NA,"Gm21996","protein_coding","Y",89724693,89756801,-1,"predicted gene 21996 [Source:MGI Symbol;Acc:MGI:5440224]"
"176","ENSMUSG00000094729",434960,"Gm20747","protein_coding","Y",53412532,53414870,-1,"predicted gene, 20747 [Source:MGI Symbol;Acc:MGI:5434103]"
"177","ENSMUSG00000094729",100041284,"Gm20747","protein_coding","Y",53412532,53414870,-1,"predicted gene, 20747 [Source:MGI Symbol;Acc:MGI:5434103]"
"178","ENSMUSG00000094729",100862371,"Gm20747","protein_coding","Y",53412532,53414870,-1,"predicted gene, 20747 [Source:MGI Symbol;Acc:MGI:5434103]"
"179","ENSMUSG00000094729",108168629,"Gm20747","protein_coding","Y",53412532,53414870,-1,"predicted gene, 20747 [Source:MGI Symbol;Acc:MGI:5434103]"
"180","ENSMUSG00000096178",NA,"Gm20837","protein_coding","Y",90412517,90444532,1,"predicted gene, 20837 [Source:MGI Symbol;Acc:MGI:5434193]"
"181","ENSMUSG00000100045",100042578,"Gm20929","protein_coding","Y",53840528,53866729,1,"predicted gene, 20929 [Source:MGI Symbol;Acc:MGI:5434285]"
"182","ENSMUSG00000096850",NA,"Gm21748","protein_coding","Y",90850138,90850446,-1,"predicted gene, 21748 [Source:MGI Symbol;Acc:MGI:5433912]"
"183","ENSMUSG00000094570",100042594,"Gm20931","protein_coding","Y",55210299,55236450,1,"predicted gene, 20931 [Source:MGI Symbol;Acc:MGI:5434287]"
"184","ENSMUSG00000095135",NA,"Gm21858","protein_coding","Y",55728335,55754487,1,"predicted gene, 21858 [Source:MGI Symbol;Acc:MGI:5434022]"
"185","ENSMUSG00000101155",382301,"Sly","protein_coding","Y",57195716,57221890,1,"Sycp3 like Y-linked [Source:MGI Symbol;Acc:MGI:2687328]"
"186","ENSMUSG00000096122",434935,"Gm21943","protein_coding","Y",57539940,57542272,-1,"predicted gene, 21943 [Source:MGI Symbol;Acc:MGI:5439394]"
"187","ENSMUSG00000096122",108168625,"Gm21943","protein_coding","Y",57539940,57542272,-1,"predicted gene, 21943 [Source:MGI Symbol;Acc:MGI:5439394]"
"188","ENSMUSG00000096122",108168634,"Gm21943","protein_coding","Y",57539940,57542272,-1,"predicted gene, 21943 [Source:MGI Symbol;Acc:MGI:5439394]"
"189","ENSMUSG00000096122",108168635,"Gm21943","protein_coding","Y",57539940,57542272,-1,"predicted gene, 21943 [Source:MGI Symbol;Acc:MGI:5439394]"
"190","ENSMUSG00000096122",108168659,"Gm21943","protein_coding","Y",57539940,57542272,-1,"predicted gene, 21943 [Source:MGI Symbol;Acc:MGI:5439394]"
